type_id,start_station_id,dest_station_id,price_start,price_dest,volume_remain_start,volume_remain_dest,supply_start,supply_dest,sell_price_low_dest,sell_price_avg_dest,sell_volume_avg_dest
210,60005686,60011866,14.0,17.489999771118164,8761,108040,65799,1060113,15.0,15.6627,343709.0
211,60005686,60004588,11.0,12.5,11702,2397910,11702,2557186,11.0,11.3929,1426932.0
211,60008494,60003760,9.5,11.600000381469728,477902,990695,1040631,2025296,10.43,13.7025,13938856.0
211,60008494,60004588,9.5,12.5,477902,2397910,1040631,2557186,11.0,11.3929,1426932.0
211,60011866,60003760,6.900000095367432,11.600000381469728,79023,990695,91441,2025296,10.43,13.7025,13938856.0
211,60011866,60004588,6.900000095367432,12.5,79023,2397910,91441,2557186,11.0,11.3929,1426932.0
211,60011866,60008494,6.900000095367432,9.5,79023,477902,91441,1040631,5.03,11.3398,1721520.0
212,60003760,60004588,19.3799991607666,27.5,141540,447422,52971118,1641747,19.0,19.9107,1878035.0
212,60008494,60003760,15.399999618530272,19.3799991607666,11501,141540,2146045,52971118,14.15,18.5123,14050319.0
212,60008494,60004588,15.399999618530272,27.5,11501,447422,2146045,1641747,19.0,19.9107,1878035.0
212,60011866,60003760,16.0,19.3799991607666,163312,141540,1252819,52971118,14.15,18.5123,14050319.0
212,60011866,60004588,16.0,27.5,163312,447422,1252819,1641747,19.0,19.9107,1878035.0
213,60004588,60003760,10.8100004196167,12.899999618530272,15371,1692774,810093,4716936,10.03,13.7229,44881425.0
213,60008494,60003760,8.789999961853027,12.899999618530272,23543,1692774,1896777,4716936,10.03,13.7229,44881425.0
213,60008494,60004588,8.789999961853027,10.8100004196167,23543,15371,1896777,810093,10.5,10.6429,3123740.0
213,60011866,60003760,8.25,12.899999618530272,67254,1692774,543327,4716936,10.03,13.7229,44881425.0
213,60011866,60004588,8.25,10.8100004196167,67254,15371,543327,810093,10.5,10.6429,3123740.0
215,60003760,60004588,6.340000152587891,8.399999618530273,205974,434788,5683767,733319,7.64,7.65625,351113.0
215,60008494,60003760,5.489999771118164,6.340000152587891,79390,205974,218660,5683767,1.47,4.89286,147536503.0
